epoch,lr-Adam,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
,0.001,0,,,,,,,
0,,9,,5.184458255767822,,,,,
0,,19,,4.522363662719727,,,,,
0,,29,,3.9772093296051025,,,,,
0,,39,,4.5514912605285645,,,,,
0,,49,,4.342746257781982,,,,,
0,,59,,4.6523637771606445,,,,,
0,,69,,5.793504238128662,,,,,
0,,79,,4.414572238922119,,,,,
0,,89,,4.612698554992676,,,,,
0,,99,,4.79805850982666,,,,,
0,,109,,4.533073902130127,,,,,
0,,119,,4.530999183654785,,,,,
0,,129,,4.198055267333984,,,,,
0,,139,,4.4666290283203125,,,,,
0,,149,,3.9696450233459473,,,,,
0,,159,,4.33353853225708,,,,,
0,,169,,7.423929214477539,,,,,
0,,179,,4.137460231781006,,,,,
0,,189,,4.394165515899658,,,,,
0,,199,,4.070568084716797,,,,,
0,,209,,4.410897254943848,,,,,
0,,219,,4.6105546951293945,,,,,
0,,229,,3.902257204055786,,,,,
0,,239,,4.158420562744141,,,,,
0,,249,,3.5516350269317627,,,,,
0,,259,,4.137119770050049,,,,,
0,,269,,3.6482229232788086,,,,,
0,,279,,3.6745715141296387,,,,,
0,,289,,4.104251861572266,,,,,
0,,292,,,211657.515625,4117271.75,82.73897552490234,211650.671875,211653.890625
0,,292,4.436238765716553,,,,,,
,0.001,293,,,,,,,
1,,299,,4.40551233291626,,,,,
1,,309,,4.148272514343262,,,,,
1,,319,,3.977330446243286,,,,,
1,,329,,4.271445274353027,,,,,
1,,339,,3.619807720184326,,,,,
1,,349,,4.260810375213623,,,,,
1,,359,,3.84417724609375,,,,,
1,,369,,3.9262945652008057,,,,,
1,,379,,4.1120147705078125,,,,,
1,,389,,4.296513080596924,,,,,
1,,399,,3.99017333984375,,,,,
1,,409,,4.509650707244873,,,,,
1,,419,,3.942462682723999,,,,,
1,,429,,3.864030122756958,,,,,
1,,439,,4.464809894561768,,,,,
1,,449,,3.7486751079559326,,,,,
1,,459,,3.6901450157165527,,,,,
1,,469,,4.186178684234619,,,,,
1,,479,,3.865996837615967,,,,,
1,,489,,3.655035972595215,,,,,
1,,499,,3.769174575805664,,,,,
1,,509,,3.7559235095977783,,,,,
1,,519,,3.771693468093872,,,,,
1,,529,,4.113743782043457,,,,,
1,,539,,4.004467964172363,,,,,
1,,549,,4.306840896606445,,,,,
1,,559,,4.241800308227539,,,,,
1,,569,,3.479762077331543,,,,,
1,,579,,5.145480632781982,,,,,
